ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,SCHOOL NO.,SCHOOL NO.,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,OPENING HOURS,開放時間,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,EMAIL ADDRESS,電郵地址,WEBSITE,網頁,RELIGION,宗教,
Kindergartens,幼稚園,SHAN KING ESTATE BAPTIST KINDERGARTEN(WHOLE DAY),山景邨浸信會幼稚園(全日),WINGS A & B G/F BLOCK 7 SHAN KING ESTATE PHASE II TUEN MUN NEW TERRITORIES,新界屯門山景邨第二期第7座地下A及B翼,113-57-59,113-57-59,22-23-56,22-23-56,814583.2,814583.2,828867.3,828867.3,158011000113,158011000113,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24640245,24640245,24556681,24556681,,,http://www.skbkg.edu.hk,http://www.skbkg.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,SUN ISLAND ENGLISH KG (BELCHER BRANCH) (A.M.),太陽島英文幼稚園(卑路乍街分校)(上午),G/F ENTRANCE & 1-3/F KA MING BUILDING 56 BELCHER'S STREET WESTERN DISTRICT HONG KONG,香港西環卑路乍街56號嘉明大廈地下入口及1至3樓,114-7-44,114-7-44,22-16-57,22-16-57,831328,831328,815973,815973,552739000111,552739000111,CO-ED,男女,A.M.,上午,CENTRAL AND WESTERN,中西區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,28187074,28187074,28343322,28343322,,,http://www.sunisland.edu.hk,http://www.sunisland.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,PODS KINDERGARTEN (HARBOUR HEIGHTS)(P.M.),樂䔄幼稚園(海峰園)(下午),SHOP G01B G/F & 1/F NAM FUNG COURT HARBOUR HEIGHTS 1 FOOK YUM ROAD NORTH POINT HONG KONG (EXCEPT CLASSROOM 3 CLASSROOM 4 ACTIVITY AREA 2 AND PRINCIPAL ROOM),香港北角福蔭道1號海峰園南峯閣地下G01B號舖及1樓(課室3、課室4、活動空間2及校長室除外),114-11-30,114-11-30,22-17-16,22-17-16,837791.9,837791.9,816557.2,816557.2,601160000112,601160000112,CO-ED,男女,P.M.,下午,EASTERN,東區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,22422261,22422261,22422291,22422291,,,,,,,
Kindergartens,幼稚園,HONG KONG BAPTIST UNIVERSITY - KG (A.M.),香港浸會大學附屬幼稚園(上午),3/F - 4/F SCE TOWER HONG KONG BAPTIST UNIVERSITY ROAD KOWLOON TONG KOWLOON,九龍九龍塘浸會大學道陳瑞槐夫人胡尹桂女士持續教育大樓3樓及4樓,114-10-58,114-10-58,22-20-10,22-20-10,836871.5,836871.5,821890.7,821890.7,536288000111,536288000111,CO-ED,男女,A.M.,上午,KOWLOON CITY,九龍城區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,34112837,34112837,34112803,34112803,,,http://www.sce.hkbu.edu.hk/hkbuk,http://www.sce.hkbu.edu.hk/hkbuk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,PLK MRS CHAO KING LIN KINDERGARTEN (A.M.),保良局曹金霖夫人幼稚園(上午),G/F ON YUN HOUSE CHEUNG ON ESTATE TSING YI NEW TERRITORIES,新界青衣長安邨安潤樓地下,114-6-11,114-6-11,22-21-38,22-21-38,828674.9,828674.9,824602.3,824602.3,158453000111,158453000111,CO-ED,男女,A.M.,上午,KWAI TSING,葵青區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24314904,24314904,24350790,24350790,,,http://www.plkcklkg.edu.hk/,http://www.plkcklkg.edu.hk/,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,HK VERNACULAR NORMAL SCH ALUMNI ASSN SCH (A.M.),香港漢文師範同學會學校(上午),KIL 6719 SAI YEE STREET KOWLOON,九龍洗衣街九龍內地段6719號,114-10-20,114-10-20,22-19-3,22-19-3,835799,835799,819830,819830,130060000111,130060000111,CO-ED,男女,A.M.,上午,YAU TSIM MONG,油尖旺區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,27704604,27704604,23840633,23840633,,,http://www.hvnsaas.edu.hk,http://www.hvnsaas.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,YAN CHAI HOSPITAL MING TAK KINDERGARTEN (A.M.),仁濟醫院明德幼稚園(上午),"G/F, WING B & C, HENG KIN HOUSE BLOCK 1, TIN HENG ESTATE TIN SHUI WAI, YUEN LONG, N.T. (KINDERGARTEN) NEW TERRITORIES",新界元朗天水圍天恒邨第一座恒健樓地下B及C翼幼稚園,113-59-55,113-59-55,22-28-11,22-28-11,817913.9,817913.9,836697.7,836697.7,543918000111,543918000111,CO-ED,男女,A.M.,上午,YUEN LONG,元朗區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24865080,24865080,24865100,24865100,,,http://www.ychmtk.edu.hk,http://www.ychmtk.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,ELITE KIDS ANGLO-CHINESE KINDERGARTEN (WHOLE DAY),英揚樂兒中英文幼稚園(全日),SHOP NO KG01 G/F BLOCK A TIN LAI COURT TIN SHUI WAI YUEN LONG NEW TERRITORIES,新界元朗天水圍天麗苑A座地下KG01號舖,114-0-29,114-0-29,22-27-10,22-27-10,818895.7,818895.7,834829.7,834829.7,590614000113,590614000113,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,27110272,27110272,27110279,27110279,,,,,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,YUEN YUEN KINDERGARTEN (PING TIN ESTATE)(WHOLE DAY),圓玄幼稚園(平田邨)(全日),G/F PING SIN HOUSE PING TIN ESTATE LAM TIN KOWLOON,九龍藍田平田邨平善樓地下,114-14-10,114-14-10,22-18-26,22-18-26,842384.5,842384.5,818707.9,818707.9,528366000113,528366000113,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,22437116,22437116,21776722,21776722,,,http://www.yuenyuenkg.edu.hk,http://www.yuenyuenkg.edu.hk,TAOISM,道教,
Kindergartens,幼稚園,HK CHINESE CHURCH OF CHRIST THE LIGHT KG(WHOLE DAY),香港華人基督會煜明幼稚園(全日),G/F HEI MING HOUSE YUK MING COURT TSEUNG KWAN O NEW TERRITORIES,新界將軍澳煜明苑熹明閣地下,114-16-1,114-16-1,22-18-54,22-18-54,845546.7,845546.7,819547.1,819547.1,519634000113,519634000113,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,,,,,,,http://hkccclk.edu.hk,http://hkccclk.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,TAI PO RHENISH CHURCH KINDERGARTEN (A.M.),大埔禮賢會幼稚園(上午),G/F 1/F - 2/F 7 TING KOK ROAD TAI PO TPTL 144 NEW TERRITORIES,新界大埔汀角路7號地下及1-2字樓,114-9-54,114-9-54,22-27-6,22-27-6,835050.8,835050.8,834700.7,834700.7,150860000211,150860000211,CO-ED,男女,A.M.,上午,TAI PO,大埔區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,21440708,21440708,21440963,21440963,,,http://www.rcktp.edu.hk,http://www.rcktp.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,CHRISTIAN ALLIANCE LOUEY CHOY KWAN LOK KG(P.M.),宣道會雷蔡群樂幼稚園(下午),"G/F, UN SHING HOUSE UN CHAU ESTATE SHAMSHUIPO KOWLOON",九龍深水埗元州邨元盛樓地下,114-9-17,114-9-17,22-20-14,22-20-14,833999.6,833999.6,822024.9,822024.9,532800000112,532800000112,CO-ED,男女,P.M.,下午,SHAM SHUI PO,深水埗區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24204718,24204718,27204382,27204382,,,http://www.calcklkg.edu.hk,http://www.calcklkg.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
